longitude,latitude,timestamp,distance,cadence,fractional_cadence,heart_rate,time_elapsed,elevation,key
NA,NA,2021-05-20T19:33:37Z,0,84,0,120,263,0,6813993966
NA,NA,2021-05-20T19:33:38Z,0,84,0,121,264,0,6813993966
NA,NA,2021-05-20T19:33:39Z,0,84,0,121,265,0,6813993966
NA,NA,2021-05-20T19:33:40Z,0,84,0,121,266,0,6813993966
NA,NA,2021-05-20T19:33:41Z,0,84,0,120,267,0,6813993966
NA,NA,2021-05-20T19:33:42Z,0,84,0,120,268,0,6813993966
NA,NA,2021-05-20T19:33:43Z,0,84,0,120,269,0,6813993966
NA,NA,2021-05-20T19:33:44Z,0,84,0,120,270,0,6813993966
NA,NA,2021-05-20T19:33:45Z,0,84,0,120,271,0,6813993966
NA,NA,2021-05-20T19:33:46Z,0,84,0,121,272,0,6813993966
NA,NA,2021-05-20T19:33:47Z,0,84,0,121,273,0,6813993966
NA,NA,2021-05-20T19:33:48Z,0,84,0,120,274,0,6813993966
NA,NA,2021-05-20T19:33:49Z,0,84,0,119,275,0,6813993966
NA,NA,2021-05-20T19:33:50Z,0,84,0,120,276,0,6813993966
NA,NA,2021-05-20T19:33:51Z,0,42,0,120,277,0,6813993966
NA,NA,2021-05-20T19:33:52Z,0,42,0,121,278,0,6813993966
NA,NA,2021-05-20T19:33:53Z,0,42,0,121,279,0,6813993966
NA,NA,2021-05-20T19:33:54Z,0,42,0,121,280,0,6813993966
NA,NA,2021-05-20T19:33:55Z,0,42,0,121,281,0,6813993966
NA,NA,2021-05-20T19:33:56Z,0,42,0,121,282,0,6813993966
NA,NA,2021-05-20T19:33:57Z,0,42,0,121,283,0,6813993966
NA,NA,2021-05-20T19:33:58Z,0,42,0,122,284,0,6813993966
NA,NA,2021-05-20T19:33:59Z,0,42,0,122,285,0,6813993966
NA,NA,2021-05-20T19:34:00Z,0,42,0,123,286,0,6813993966
NA,NA,2021-05-20T19:34:01Z,0,42,0,123,287,0,6813993966
NA,NA,2021-05-20T19:34:02Z,0,84,0,122,288,0,6813993966
NA,NA,2021-05-20T19:34:03Z,0,84,0,122,289,0,6813993966
NA,NA,2021-05-20T19:34:04Z,0,85,0,122,290,0,6813993966
NA,NA,2021-05-20T19:34:05Z,0,85,0,121,291,0,6813993966
NA,NA,2021-05-20T19:34:06Z,0,85,0,121,292,0,6813993966
NA,NA,2021-05-20T19:34:07Z,0,85,0,122,293,0,6813993966
NA,NA,2021-05-20T19:34:08Z,0,85,0,123,294,0,6813993966
NA,NA,2021-05-20T19:34:09Z,0,85,0,123,295,0,6813993966
NA,NA,2021-05-20T19:34:10Z,0,84,0,123,296,0,6813993966
NA,NA,2021-05-20T19:34:11Z,0,84,0,123,297,0,6813993966
NA,NA,2021-05-20T19:34:12Z,0,84,0,123,298,0,6813993966
NA,NA,2021-05-20T19:34:13Z,0,85,0,123,299,0,6813993966
NA,NA,2021-05-20T19:34:14Z,0,85,0,123,300,0,6813993966
NA,NA,2021-05-20T19:34:15Z,0,83,0,123,301,0,6813993966
NA,NA,2021-05-20T19:34:16Z,0,83,0,123,302,0,6813993966
NA,NA,2021-05-20T19:34:17Z,0,83,0,123,303,0,6813993966
NA,NA,2021-05-20T19:34:18Z,0,83,0,123,304,0,6813993966
NA,NA,2021-05-20T19:34:19Z,0,83,0,123,305,0,6813993966
NA,NA,2021-05-20T19:34:20Z,0,83,0,123,306,0,6813993966
NA,NA,2021-05-20T19:34:21Z,0,83,0,120,307,0,6813993966
NA,NA,2021-05-20T19:34:22Z,0,83,0,119,308,0,6813993966
NA,NA,2021-05-20T19:34:23Z,0,85,0,119,309,0,6813993966
NA,NA,2021-05-20T19:34:24Z,0,85,0,119,310,0,6813993966
NA,NA,2021-05-20T19:34:25Z,0,85,0,119,311,0,6813993966
NA,NA,2021-05-20T19:34:26Z,0,85,0,119,312,0,6813993966
NA,NA,2021-05-20T19:34:27Z,0,85,0,NA,313,0,6813993966
NA,NA,2021-05-20T19:34:28Z,0,85,0,NA,314,0,6813993966
NA,NA,2021-05-20T19:34:29Z,0,85,0,NA,315,0,6813993966
NA,NA,2021-05-20T19:34:30Z,0,85,0,119,316,0,6813993966
NA,NA,2021-05-20T19:34:31Z,0,83,0,119,317,0,6813993966
NA,NA,2021-05-20T19:34:32Z,0,83,0,122,318,0,6813993966
NA,NA,2021-05-20T19:34:33Z,0,85,0,124,319,0,6813993966
NA,NA,2021-05-20T19:34:34Z,0,85,0,125,320,0,6813993966
NA,NA,2021-05-20T19:34:35Z,0,85,0,125,321,0,6813993966
NA,NA,2021-05-20T19:34:36Z,0,84,0,125,322,0,6813993966
NA,NA,2021-05-20T19:34:37Z,0,84,0,126,323,0,6813993966
NA,NA,2021-05-20T19:34:38Z,0,84,0,126,324,0,6813993966
NA,NA,2021-05-20T19:34:39Z,0,84,0,126,325,0,6813993966
NA,NA,2021-05-20T19:34:40Z,0,85,0,125,326,0,6813993966
NA,NA,2021-05-20T19:34:41Z,0,85,0,126,327,0,6813993966
NA,NA,2021-05-20T19:34:42Z,0,83,0,125,328,0,6813993966
NA,NA,2021-05-20T19:34:43Z,0,83,0,126,329,0,6813993966
NA,NA,2021-05-20T19:34:44Z,0,83,0,127,330,0,6813993966
NA,NA,2021-05-20T19:34:45Z,0,83,0,127,331,0,6813993966
NA,NA,2021-05-20T19:34:46Z,0,83,0,128,332,0,6813993966
NA,NA,2021-05-20T19:34:47Z,0,83,0,128,333,0,6813993966
NA,NA,2021-05-20T19:34:48Z,0,83,0,129,334,0,6813993966
NA,NA,2021-05-20T19:34:49Z,0,83,0,129,335,0,6813993966
NA,NA,2021-05-20T19:34:50Z,0,83,0,130,336,0,6813993966
NA,NA,2021-05-20T19:34:51Z,0,83,0,130,337,0,6813993966
NA,NA,2021-05-20T19:34:52Z,0,83,0,131,338,0,6813993966
