longitude,latitude,timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-05-17T12:19:33Z,0,145,40,0,183,0,6794759057
NA,NA,2021-05-17T12:19:34Z,0,145,40,0,184,0,6794759057
NA,NA,2021-05-17T12:19:35Z,0,145,81,0,185,0,6794759057
NA,NA,2021-05-17T12:19:36Z,0,145,81,0,186,0,6794759057
NA,NA,2021-05-17T12:19:37Z,0,145,81,0,187,0,6794759057
NA,NA,2021-05-17T12:19:38Z,0,145,81,0,188,0,6794759057
NA,NA,2021-05-17T12:19:39Z,0,145,81,0,189,0,6794759057
NA,NA,2021-05-17T12:19:40Z,0,145,81,0,190,0,6794759057
NA,NA,2021-05-17T12:19:41Z,0,145,80,0,191,0,6794759057
NA,NA,2021-05-17T12:19:42Z,0,145,80,0,192,0,6794759057
NA,NA,2021-05-17T12:19:43Z,0,145,41,0,193,0,6794759057
NA,NA,2021-05-17T12:19:44Z,0,145,41,0,194,0,6794759057
NA,NA,2021-05-17T12:19:45Z,0,145,41,0,195,0,6794759057
NA,NA,2021-05-17T12:19:46Z,0,145,41,0,196,0,6794759057
NA,NA,2021-05-17T12:19:47Z,0,145,41,0,197,0,6794759057
NA,NA,2021-05-17T12:19:48Z,0,145,41,0,198,0,6794759057
NA,NA,2021-05-17T12:19:49Z,0,145,41,0,199,0,6794759057
NA,NA,2021-05-17T12:19:50Z,0,145,41,0,200,0,6794759057
NA,NA,2021-05-17T12:19:51Z,0,145,41,0,201,0,6794759057
NA,NA,2021-05-17T12:19:52Z,0,145,41,0,202,0,6794759057
NA,NA,2021-05-17T12:19:53Z,0,146,41,0,203,0,6794759057
NA,NA,2021-05-17T12:19:54Z,0,145,42,0,204,0,6794759057
NA,NA,2021-05-17T12:19:55Z,0,145,42,0,205,0,6794759057
NA,NA,2021-05-17T12:19:56Z,0,145,42,0,206,0,6794759057
NA,NA,2021-05-17T12:19:57Z,0,145,42,0,207,0,6794759057
NA,NA,2021-05-17T12:19:58Z,0,145,42,0,208,0,6794759057
NA,NA,2021-05-17T12:19:59Z,0,145,42,0,209,0,6794759057
NA,NA,2021-05-17T12:20:00Z,0,146,42,0,210,0,6794759057
NA,NA,2021-05-17T12:20:01Z,0,146,41,0,211,0,6794759057
NA,NA,2021-05-17T12:20:02Z,0,145,41,0,212,0,6794759057
NA,NA,2021-05-17T12:20:03Z,0,145,41,0,213,0,6794759057
NA,NA,2021-05-17T12:20:04Z,0,145,41,0,214,0,6794759057
NA,NA,2021-05-17T12:20:05Z,0,144,41,0,215,0,6794759057
NA,NA,2021-05-17T12:20:06Z,0,144,41,0,216,0,6794759057
NA,NA,2021-05-17T12:20:07Z,0,145,41,0,217,0,6794759057
NA,NA,2021-05-17T12:20:08Z,0,145,41,0,218,0,6794759057
NA,NA,2021-05-17T12:20:09Z,0,144,41,0,219,0,6794759057
NA,NA,2021-05-17T12:20:10Z,0,144,41,0,220,0,6794759057
NA,NA,2021-05-17T12:20:11Z,0,144,41,0,221,0,6794759057
NA,NA,2021-05-17T12:20:12Z,0,144,41,0,222,0,6794759057
NA,NA,2021-05-17T12:20:13Z,0,145,41,0,223,0,6794759057
NA,NA,2021-05-17T12:20:14Z,0,144,41,0,224,0,6794759057
NA,NA,2021-05-17T12:20:15Z,0,144,41,0,225,0,6794759057
NA,NA,2021-05-17T12:20:16Z,0,144,41,0,226,0,6794759057
NA,NA,2021-05-17T12:20:17Z,0,144,41,0,227,0,6794759057
NA,NA,2021-05-17T12:20:18Z,0,144,41,0,228,0,6794759057
NA,NA,2021-05-17T12:20:19Z,0,143,41,0,229,0,6794759057
NA,NA,2021-05-17T12:20:20Z,0,143,41,0,230,0,6794759057
NA,NA,2021-05-17T12:20:21Z,0,142,40,0,231,0,6794759057
NA,NA,2021-05-17T12:20:22Z,0,143,40,0,232,0,6794759057
NA,NA,2021-05-17T12:20:23Z,0,143,40,0,233,0,6794759057
NA,NA,2021-05-17T12:20:24Z,0,143,41,0,234,0,6794759057
NA,NA,2021-05-17T12:20:25Z,0,143,41,0,235,0,6794759057
NA,NA,2021-05-17T12:20:26Z,0,143,41,0,236,0,6794759057
NA,NA,2021-05-17T12:20:27Z,0,143,41,0,237,0,6794759057
NA,NA,2021-05-17T12:20:28Z,0,143,41,0,238,0,6794759057
NA,NA,2021-05-17T12:20:29Z,0,143,41,0,239,0,6794759057
NA,NA,2021-05-17T12:20:30Z,0,143,41,0,240,0,6794759057
NA,NA,2021-05-17T12:20:31Z,0,142,83,0,241,0,6794759057
NA,NA,2021-05-17T12:20:32Z,0,142,83,0,242,0,6794759057
NA,NA,2021-05-17T12:20:33Z,0,142,83,0,243,0,6794759057
NA,NA,2021-05-17T12:20:34Z,0,142,83,0,244,0,6794759057
NA,NA,2021-05-17T12:20:35Z,0,142,41,0,245,0,6794759057
NA,NA,2021-05-17T12:20:36Z,0,141,41,0,246,0,6794759057
NA,NA,2021-05-17T12:20:37Z,0,141,41,0,247,0,6794759057
NA,NA,2021-05-17T12:20:38Z,0,142,41,0,248,0,6794759057
NA,NA,2021-05-17T12:20:39Z,0,142,41,0,249,0,6794759057
NA,NA,2021-05-17T12:20:40Z,0,142,41,0,250,0,6794759057
NA,NA,2021-05-17T12:20:41Z,0,142,84,0,251,0,6794759057
NA,NA,2021-05-17T12:20:42Z,0,143,84,0,252,0,6794759057
NA,NA,2021-05-17T12:20:43Z,0,143,84,0,253,0,6794759057
NA,NA,2021-05-17T12:20:44Z,0,143,84,0,254,0,6794759057
NA,NA,2021-05-17T12:20:45Z,0,143,84,0,255,0,6794759057
NA,NA,2021-05-17T12:20:46Z,0,143,84,0,256,0,6794759057
NA,NA,2021-05-17T12:20:47Z,0,143,41,0,257,0,6794759057
NA,NA,2021-05-17T12:20:48Z,0,144,41,0,258,0,6794759057
NA,NA,2021-05-17T12:20:49Z,0,144,41,0,259,0,6794759057
NA,NA,2021-05-17T12:20:50Z,0,144,40,0,260,0,6794759057
NA,NA,2021-05-17T12:20:51Z,0,145,40,0,261,0,6794759057
NA,NA,2021-05-17T12:20:52Z,0,145,40,0,262,0,6794759057
NA,NA,2021-05-17T12:20:53Z,0,145,40,0,263,0,6794759057
NA,NA,2021-05-17T12:20:54Z,0,145,40,0,264,0,6794759057
NA,NA,2021-05-17T12:20:55Z,0,145,40,0,265,0,6794759057
NA,NA,2021-05-17T12:20:56Z,0,146,40,0,266,0,6794759057
NA,NA,2021-05-17T12:20:57Z,0,146,41,0,267,0,6794759057
NA,NA,2021-05-17T12:20:58Z,0,146,41,0,268,0,6794759057
NA,NA,2021-05-17T12:20:59Z,0,146,41,0,269,0,6794759057
NA,NA,2021-05-17T12:21:00Z,0,146,41,0,270,0,6794759057
NA,NA,2021-05-17T12:21:01Z,0,146,41,0,271,0,6794759057
NA,NA,2021-05-17T12:21:02Z,0,146,41,0,272,0,6794759057
NA,NA,2021-05-17T12:21:03Z,0,147,41,0,273,0,6794759057
NA,NA,2021-05-17T12:21:04Z,0,148,41,0,274,0,6794759057
NA,NA,2021-05-17T12:21:05Z,0,147,41,0,275,0,6794759057
NA,NA,2021-05-17T12:21:06Z,0,146,41,0,276,0,6794759057
NA,NA,2021-05-17T12:21:07Z,0,146,41,0,277,0,6794759057
NA,NA,2021-05-17T12:21:08Z,0,146,41,0,278,0,6794759057
NA,NA,2021-05-17T12:21:09Z,0,147,82,0,279,0,6794759057
NA,NA,2021-05-17T12:21:10Z,0,147,82,0,280,0,6794759057
NA,NA,2021-05-17T12:21:11Z,0,146,82,0,281,0,6794759057
NA,NA,2021-05-17T12:21:12Z,0,146,82,0,282,0,6794759057
NA,NA,2021-05-17T12:21:13Z,0,146,0,0,283,0,6794759057
NA,NA,2021-05-17T12:21:14Z,0,146,0,0,284,0,6794759057
NA,NA,2021-05-17T12:21:15Z,0,146,41,0,285,0,6794759057
NA,NA,2021-05-17T12:21:16Z,0,145,41,0,286,0,6794759057
NA,NA,2021-05-17T12:21:17Z,0,145,41,0,287,0,6794759057
NA,NA,2021-05-17T12:21:18Z,0,146,41,0,288,0,6794759057
NA,NA,2021-05-17T12:21:19Z,0,145,81,0,289,0,6794759057
NA,NA,2021-05-17T12:21:20Z,0,145,81,0,290,0,6794759057
NA,NA,2021-05-17T12:21:21Z,0,146,81,0,291,0,6794759057
NA,NA,2021-05-17T12:21:22Z,0,146,81,0,292,0,6794759057
NA,NA,2021-05-17T12:21:23Z,0,146,81,0,293,0,6794759057
NA,NA,2021-05-17T12:21:24Z,0,147,81,0,294,0,6794759057
NA,NA,2021-05-17T12:21:25Z,0,147,81,0,295,0,6794759057
NA,NA,2021-05-17T12:21:26Z,0,146,0,0,296,0,6794759057
NA,NA,2021-05-17T12:21:27Z,0,146,0,0,297,0,6794759057
NA,NA,2021-05-17T12:21:28Z,0,146,82,0,298,0,6794759057
NA,NA,2021-05-17T12:21:29Z,0,146,83,0,299,0,6794759057
NA,NA,2021-05-17T12:21:30Z,0,147,83,0,300,0,6794759057
NA,NA,2021-05-17T12:21:31Z,0,147,86,0,301,0,6794759057
NA,NA,2021-05-17T12:21:32Z,0,147,86,0,302,0,6794759057
NA,NA,2021-05-17T12:21:33Z,0,147,86,0,303,0,6794759057
NA,NA,2021-05-17T12:21:34Z,0,147,86,0,304,0,6794759057
NA,NA,2021-05-17T12:21:35Z,0,148,86,0,305,0,6794759057
NA,NA,2021-05-17T12:21:36Z,0,148,86,0,306,0,6794759057
NA,NA,2021-05-17T12:21:37Z,0,148,86,0,307,0,6794759057
NA,NA,2021-05-17T12:21:38Z,0,148,86,0,308,0,6794759057
NA,NA,2021-05-17T12:21:39Z,0,149,86,0,309,0,6794759057
NA,NA,2021-05-17T12:21:40Z,0,149,86,0,310,0,6794759057
NA,NA,2021-05-17T12:21:41Z,0,148,86,0,311,0,6794759057
NA,NA,2021-05-17T12:21:42Z,0,148,85,0,312,0,6794759057
NA,NA,2021-05-17T12:21:43Z,0,149,85,0,313,0,6794759057
NA,NA,2021-05-17T12:21:44Z,0,148,85,0,314,0,6794759057
NA,NA,2021-05-17T12:21:45Z,0,148,85,0,315,0,6794759057
NA,NA,2021-05-17T12:21:46Z,0,149,85,0,316,0,6794759057
NA,NA,2021-05-17T12:21:47Z,0,149,84,0,317,0,6794759057
NA,NA,2021-05-17T12:21:48Z,0,149,84,0,318,0,6794759057
NA,NA,2021-05-17T12:21:49Z,0,149,84,0,319,0,6794759057
NA,NA,2021-05-17T12:21:50Z,0,149,84,0,320,0,6794759057
NA,NA,2021-05-17T12:21:51Z,0,150,84,0,321,0,6794759057
