timestamp,distance,heart_rate,cadence,fractional_cadence,key
2018-10-02T02:40:14Z,0,123,0,0,2018-10-02 02:36:42
2018-10-02T02:40:15Z,0,122,0,0,2018-10-02 02:36:42
2018-10-02T02:40:16Z,0,122,0,0,2018-10-02 02:36:42
2018-10-02T02:40:17Z,0,122,0,0,2018-10-02 02:36:42
2018-10-02T02:40:18Z,0,121,0,0,2018-10-02 02:36:42
2018-10-02T02:40:19Z,0,121,0,0,2018-10-02 02:36:42
2018-10-02T02:40:20Z,0,120,0,0,2018-10-02 02:36:42
2018-10-02T02:40:21Z,0,120,0,0,2018-10-02 02:36:42
2018-10-02T02:40:22Z,0,119,0,0,2018-10-02 02:36:42
2018-10-02T02:40:23Z,0,119,0,0,2018-10-02 02:36:42
2018-10-02T02:40:24Z,0,118,0,0,2018-10-02 02:36:42
2018-10-02T02:40:25Z,0,118,0,0,2018-10-02 02:36:42
2018-10-02T02:40:26Z,0,118,0,0,2018-10-02 02:36:42
2018-10-02T02:40:27Z,0,118,0,0,2018-10-02 02:36:42
2018-10-02T02:40:28Z,0,117,0,0,2018-10-02 02:36:42
2018-10-02T02:40:29Z,0,116,0,0,2018-10-02 02:36:42
2018-10-02T02:40:30Z,0,115,0,0,2018-10-02 02:36:42
2018-10-02T02:40:31Z,0,112,0,0,2018-10-02 02:36:42
2018-10-02T02:40:32Z,0,111,0,0,2018-10-02 02:36:42
2018-10-02T02:40:33Z,0,109,0,0,2018-10-02 02:36:42
2018-10-02T02:40:34Z,0,109,0,0,2018-10-02 02:36:42
2018-10-02T02:40:35Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:36Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:37Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:38Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:39Z,0,107,0,0,2018-10-02 02:36:42
2018-10-02T02:40:40Z,0,106,0,0,2018-10-02 02:36:42
2018-10-02T02:40:41Z,0,106,0,0,2018-10-02 02:36:42
2018-10-02T02:40:42Z,0,106,0,0,2018-10-02 02:36:42
2018-10-02T02:40:43Z,0,106,0,0,2018-10-02 02:36:42
2018-10-02T02:40:44Z,0,106,59,0.5,2018-10-02 02:36:42
2018-10-02T02:40:45Z,0,106,59,0.5,2018-10-02 02:36:42
2018-10-02T02:40:46Z,0,106,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:47Z,0,107,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:48Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:49Z,0,108,0,0,2018-10-02 02:36:42
2018-10-02T02:40:50Z,0,108,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:51Z,0,108,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:52Z,0,107,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:53Z,0,107,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:54Z,0,108,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:55Z,0,108,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:56Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:57Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:58Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:40:59Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:00Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:01Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:02Z,0,109,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:03Z,0,109,0,0,2018-10-02 02:36:42
2018-10-02T02:41:04Z,0,110,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:05Z,0,110,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:06Z,0,112,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:07Z,0,112,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:08Z,0,112,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:09Z,0,112,58,0.5,2018-10-02 02:36:42
2018-10-02T02:41:10Z,0,112,58,0.5,2018-10-02 02:36:42
