timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2020-03-27T22:02:12Z,44.98394320718944,-93.18859071470797,324.09,291.20000000000005,3.294,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:13Z,44.98391227796674,-93.18858987651765,327.51,291.20000000000005,3.294,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:14Z,44.98388252221048,-93.18858853541315,330.8,291,3.303,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:15Z,44.98385226354003,-93.1885889545083,334.13,291.20000000000005,3.303,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:16Z,44.98382108286023,-93.18858685903251,337.58,291.20000000000005,3.303,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:17Z,44.98378763906658,-93.18858543410897,341.25,291.20000000000005,3.303,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:18Z,44.98371882364154,-93.18858157843351,348.87,291,3.312,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:19Z,44.98371882364154,-93.18858157843351,348.87,291,3.312,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:20Z,44.98368605040014,-93.18857805803418,352.52,290.79999999999995,3.322,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:21Z,44.98365570791066,-93.18858669139445,355.95,291,3.322,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:22Z,44.98362930491567,-93.18860052153468,359.07,290.79999999999995,3.331,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:23Z,44.98360885307193,-93.18862533196807,362.07,290.6,3.331,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:24Z,44.98358940705657,-93.1886545009911,365.23,290,3.331,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:25Z,44.983570547774434,-93.18868635222316,368.5,289.79999999999995,3.322,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:26Z,44.98355034738779,-93.18872432224452,372.24,289.6,3.312,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:27Z,44.983528554439545,-93.1887633819133,376.16,289.6,3.312,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:28Z,44.98350600712001,-93.1888051237911,380.3,289.4,3.312,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:29Z,44.98348874039948,-93.18884678184986,384.11,289.20000000000005,3.322,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:30Z,44.9834739882499,-93.18889263086021,388.08,289,3.322,84,0,117,2020-03-27 22:00:32
2020-03-27T22:02:31Z,44.983456302434206,-93.18893571384251,392,288.79999999999995,3.331,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:32Z,44.98343585059047,-93.18897644989192,395.93,288.4,3.331,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:33Z,44.9834169074893,-93.18901995196939,399.95,288.4,3.34,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:34Z,44.98340081423521,-93.18906328640878,403.82,288,3.35,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:35Z,44.98339067213237,-93.18910921923816,407.6,287.6,3.35,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:36Z,44.98337868601084,-93.18914853036404,410.98,287.20000000000005,3.359,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:37Z,44.983363933861256,-93.18918155506253,414.05,286.79999999999995,3.359,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:38Z,44.98334750533104,-93.18921457976103,417.22,286.4,3.359,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:39Z,44.983332166448236,-93.18925137631595,420.59,286.20000000000005,3.34,85,0,117,2020-03-27 22:00:32
2020-03-27T22:02:40Z,44.98331540264189,-93.18928976543248,424.14,285.79999999999995,3.34,86,0,116,2020-03-27 22:00:32
2020-03-27T22:02:41Z,44.983298387378454,-93.1893302500248,427.86,285.6,3.331,86,0,116,2020-03-27 22:00:32
2020-03-27T22:02:42Z,44.983282797038555,-93.18937199190259,431.57,285.4,3.331,86,0,116,2020-03-27 22:00:32
2020-03-27T22:02:43Z,44.98325077816844,-93.18945723585784,439.18,285.20000000000005,3.368,86,0,116,2020-03-27 22:00:32
2020-03-27T22:02:44Z,44.98325077816844,-93.18945723585784,439.18,285.20000000000005,3.368,85,0.5,116,2020-03-27 22:00:32
2020-03-27T22:02:45Z,44.983236361294985,-93.18950015120208,442.92,285,3.387,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:46Z,44.98321850784123,-93.18953887559474,446.57,284.79999999999995,3.406,85,0,115,2020-03-27 22:00:32
2020-03-27T22:02:47Z,44.98320048674941,-93.18957759998739,450.21,284.4,3.424,85,0,115,2020-03-27 22:00:32
2020-03-27T22:02:48Z,44.983160169795156,-93.18965203128755,457.6,284.20000000000005,3.434,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:49Z,44.983160169795156,-93.18965203128755,457.6,284.20000000000005,3.434,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:50Z,44.98314214870334,-93.18969368934631,461.45,284,3.434,85,0,115,2020-03-27 22:00:32
2020-03-27T22:02:51Z,44.983132258057594,-93.189737778157,465.09,283.79999999999995,3.443,86,0,116,2020-03-27 22:00:32
2020-03-27T22:02:52Z,44.98311876319349,-93.18978337571025,468.98,283.79999999999995,3.452,85,0,116,2020-03-27 22:00:32
2020-03-27T22:02:53Z,44.98310501687229,-93.18982469849288,472.58,283.79999999999995,3.462,84,0,116,2020-03-27 22:00:32
