distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
559.99,4.357,93,169,282.19,45.01583115197718,-93.1467647664249,6664171315,282.1320276497696,-0.05797235023038638,2021-04-24T13:22:35Z
564.76,4.749,92,170,281.95,45.01587406732142,-93.146765017882,6664171315,281.9685714285714,0.0185714285714198,2021-04-24T13:22:36Z
569.58,4.693,89,171,281.78,45.01591748557985,-93.14676510170102,6664171315,281.80820276497695,0.028202764976981598,2021-04-24T13:22:37Z
574.31,4.479,89,172,281.63,45.01595998182893,-93.14676409587264,6664171315,281.6499539170507,0.0199539170507137,2021-04-24T13:22:38Z
578.74,4.283,87,173,281.49,45.015999879688025,-93.14676258713008,6664171315,281.49235023041473,0.002350230414720045,2021-04-24T13:22:39Z
582.8,3.975,87,174,281.31,45.01603642478585,-93.14676317386328,6664171315,281.3341013824885,0.024101382488481704,2021-04-24T13:22:40Z
586.91,3.807,86,175,281.12,45.01607347279787,-93.14676392823458,6664171315,281.17350230414746,0.05350230414745738,2021-04-24T13:22:41Z
590.69,3.602,85,176,280.94,45.01610750332475,-93.14676526933908,6664171315,281.01,0.06999999999999318,2021-04-24T13:22:42Z
594.3,3.49,84,177,280.74,45.01614002510905,-93.14676694571972,6664171315,280.84506912442396,0.10506912442394878,2021-04-24T13:22:43Z
597.78,3.228,84,178,280.51,45.016171373426914,-93.1467658560723,6664171315,280.6780184331797,0.16801843317972498,2021-04-24T13:22:44Z
601.22,3.368,85,179,280.26,45.01620230264962,-93.14676392823458,6664171315,280.5088940092166,0.248894009216599,2021-04-24T13:22:45Z
604.9,3.471,85,180,280.05,45.016235411167145,-93.1467613298446,6664171315,280.338064516129,0.28806451612899764,2021-04-24T13:22:46Z
608.55,3.536,85,181,280.05,45.01626826822758,-93.14676166512072,6664171315,280.1661290322581,0.11612903225807258,2021-04-24T13:22:47Z
612.32,3.667,84,182,279.92,45.01630221493542,-93.14675940200686,6664171315,279.994331797235,0.07433179723500416,2021-04-24T13:22:48Z
615.65,3.574,82,183,279.82,45.016332222148776,-93.14675906673074,6664171315,279.82414746543776,0.004147465437768005,2021-04-24T13:22:49Z
619.26,3.602,80,184,279.7,45.01636457629502,-93.14676116220652,6664171315,279.6542857142857,-0.0457142857142685,2021-04-24T13:22:50Z
622.69,3.564,79,185,279.53,45.016395254060626,-93.14676669426262,6664171315,279.4846543778802,-0.04534562211978255,2021-04-24T13:22:51Z
626.52,3.602,79,186,279.34,45.01642961986363,-93.14677004702388,6664171315,279.31552995391706,-0.024470046082910812,2021-04-24T13:22:52Z
630.21,3.602,79,187,279.15,45.01646289601922,-93.1467708852142,6664171315,279.14728110599077,-0.0027188940092059966,2021-04-24T13:22:53Z
633.93,3.322,80,188,278.96,45.01649642363191,-93.14677122049034,6664171315,278.9800921658986,0.02009216589863172,2021-04-24T13:22:54Z
637.35,3.294,80,189,278.96,45.016527101397514,-93.14677440561354,6664171315,278.81387096774193,-0.1461290322580453,2021-04-24T13:22:55Z
640.76,3.312,79,190,278.78,45.01655769534409,-93.1467766687274,6664171315,278.6484331797235,-0.13156682027647548,2021-04-24T13:22:56Z
644.18,3.219,78,191,278.59,45.01658854074776,-93.1467766687274,6664171315,278.4844239631336,-0.10557603686635275,2021-04-24T13:22:57Z
647.76,3.396,76,192,278.41,45.01662072725594,-93.14677742309868,6664171315,278.3230875576037,-0.08691244239633988,2021-04-24T13:22:58Z
651.22,3.238,75,193,278.24,45.01665190793574,-93.14677968621254,6664171315,278.16520737327187,-0.07479262672814002,2021-04-24T13:22:59Z
654.37,2.976,75,194,278.03,45.01668023876846,-93.1467824522406,6664171315,278.0102764976958,-0.019723502304145768,2021-04-24T13:23:00Z
657.11,2.715,74,195,278.03,45.01670479774475,-93.14678446389736,6664171315,277.8579723502304,-0.17202764976957496,2021-04-24T13:23:01Z
660.36,3.004,73,196,277.78,45.01673413440585,-93.14678580500184,6664171315,277.70811059907834,-0.0718894009216342,2021-04-24T13:23:02Z
663.82,3.154,72,197,277.5,45.016765063628554,-93.14678899012506,6664171315,277.56032258064516,0.06032258064516327,2021-04-24T13:23:03Z
667.41,3.228,71,198,277.25,45.0167974177748,-93.14679167233407,6664171315,277.4146543778802,0.164654377880197,2021-04-24T13:23:04Z
671.22,3.62,71,199,277.07,45.016831615939736,-93.14679527655244,6664171315,277.27119815668203,0.20119815668203955,2021-04-24T13:23:05Z
674.9,3.518,73,200,276.91,45.01686464063823,-93.14679561182857,6664171315,277.1303686635945,0.2203686635944564,2021-04-24T13:23:06Z
678.44,3.303,73,201,276.91,45.01689657568931,-93.14679334871472,6664171315,276.9931797235023,0.0831797235022691,2021-04-24T13:23:07Z
681.77,3.331,76,202,276.71,45.01692658290267,-93.14679401926696,6664171315,276.8593548387097,0.1493548387097121,2021-04-24T13:23:08Z
685.42,3.378,78,203,276.42,45.01695935614407,-93.14679401926696,6664171315,276.72940092165896,0.3094009216589484,2021-04-24T13:23:09Z
688.99,3.387,80,204,276.21,45.01699145883322,-93.14679217524828,6664171315,276.60350230414747,0.3935023041474892,2021-04-24T13:23:10Z
692.8,3.639,82,205,276.06,45.01702574081719,-93.14679083414376,6664171315,276.481935483871,0.4219354838709819,2021-04-24T13:23:11Z
696.47,3.602,82,206,275.97,45.01705884933472,-93.1467917561531,6664171315,276.36456221198154,0.3945622119815084,2021-04-24T13:23:12Z
700.1,3.378,83,207,275.87,45.017091454938054,-93.14679116941988,6664171315,276.2510138248848,0.3810138248848034,2021-04-24T13:23:13Z
703.55,3.424,83,208,275.87,45.01712246797979,-93.14679108560084,6664171315,276.13986175115207,0.2698617511520638,2021-04-24T13:23:14Z
707.06,3.303,79,209,275.75,45.017154067754745,-93.1467906665057,6664171315,276.03147465437786,0.2814746543778597,2021-04-24T13:23:15Z
710.7,3.322,79,210,275.63,45.017186840996146,-93.14678982831538,6664171315,275.92645161290324,0.2964516129032404,2021-04-24T13:23:16Z
714.21,3.34,81,211,275.52,45.01721835695207,-93.14678731374444,6664171315,275.82414746543776,0.3041474654377794,2021-04-24T13:23:17Z
718,3.424,84,212,275.44,45.01725255511701,-93.14678597263992,6664171315,275.7236405529954,0.2836405529953936,2021-04-24T13:23:18Z
721.44,3.331,86,213,275.34,45.01728340052068,-93.14678848721088,6664171315,275.62437788018434,0.2843778801843655,2021-04-24T13:23:19Z
724.67,3.042,87,214,275.28,45.01731248572469,-93.14679075032473,6664171315,275.52543778801845,0.24543778801847793,2021-04-24T13:23:20Z
727.77,2.948,89,215,275.28,45.01734031364322,-93.14679108560084,6664171315,275.4285253456221,0.14852534562214714,2021-04-24T13:23:21Z
730.86,2.967,89,216,275.23,45.01736814156175,-93.14679217524828,6664171315,275.33557603686637,0.10557603686635275,2021-04-24T13:23:22Z
733.73,2.865,90,217,275.19,45.017393957823515,-93.14679343253374,6664171315,275.246267281106,0.05626728110598833,2021-04-24T13:23:23Z
736.45,2.818,91,218,275.19,45.01741826534271,-93.1467977911234,6664171315,275.161198156682,-0.028801843317978637,2021-04-24T13:23:24Z
739.66,3.004,91,219,275.14,45.01744701527059,-93.14680214971304,6664171315,275.0808755760369,-0.05912442396311235,2021-04-24T13:23:25Z
742.72,3.051,92,220,275.11,45.01747442409396,-93.14680650830267,6664171315,275.0057603686636,-0.10423963133644065,2021-04-24T13:23:26Z
746.05,3.154,91,221,275.08,45.01750434748829,-93.14681002870202,6664171315,274.936267281106,-0.1437327188940003,2021-04-24T13:23:27Z
749.49,3.172,90,222,275.05,45.01753527671099,-93.14681296236812,6664171315,274.87202764976956,-0.17797235023044777,2021-04-24T13:23:28Z
753.06,3.21,89,223,275.05,45.017567463219166,-93.14681430347264,6664171315,274.810599078341,-0.23940092165901206,2021-04-24T13:23:29Z
756.52,3.238,87,224,275,45.0175984762609,-93.14681204035878,6664171315,274.75138248847924,-0.24861751152076295,2021-04-24T13:23:30Z
759.79,3.042,85,225,274.9,45.01762789674103,-93.1468115374446,6664171315,274.6931797235023,-0.20682027649769452,2021-04-24T13:23:31Z
763.31,3.116,84,226,274.73,45.01765941269696,-93.14681639894845,6664171315,274.63603686635946,-0.09396313364055686,2021-04-24T13:23:32Z
766.49,2.865,85,227,274.53,45.01768807880581,-93.14681480638684,6664171315,274.57912442396315,0.04912442396317829,2021-04-24T13:23:33Z
769.64,2.771,85,228,274.53,45.01771632581949,-93.14681220799685,6664171315,274.5220276497696,-0.007972350230375014,2021-04-24T13:23:34Z
773.01,2.948,85,229,274.3,45.01774666830897,-93.14681120216846,6664171315,274.46368663594467,0.16368663594465716,2021-04-24T13:23:35Z
776.32,3.107,86,230,274.1,45.017776591703296,-93.1468096934259,6664171315,274.4047465437788,0.3047465437787764,2021-04-24T13:23:36Z
779.82,3.2,87,231,273.94,45.01780802384019,-93.14681187272072,6664171315,274.34506912442396,0.40506912442396015,2021-04-24T13:23:37Z
783.13,2.939,85,232,273.85,45.017837611958385,-93.14681648276746,6664171315,274.2851152073733,0.4351152073732578,2021-04-24T13:23:38Z
785.58,2.361,85,233,273.85,45.017859069630504,-93.14682411029936,6664171315,274.22456221198155,0.3745622119815266,2021-04-24T13:23:39Z
787.09,1.633,85,234,274.03,45.01787072047591,-93.14683391712606,6664171315,274.16336405529955,0.1333640552995803,2021-04-24T13:23:40Z
787.84,0.905,85,235,274.03,45.01787432469427,-93.1468424666673,6664171315,274.1020737327189,0.07207373271893402,2021-04-24T13:23:41Z
