timestamp,distance,speed,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-12-09T22:58:10Z,1269.61,3.62,135,82,0,336,7938511640
2021-12-09T22:58:11Z,1273.27,3.658,135,82,0,337,7938511640
2021-12-09T22:58:12Z,1276.96,3.695,135,83,0,338,7938511640
2021-12-09T22:58:13Z,1280.64,3.676,135,83,0,339,7938511640
2021-12-09T22:58:14Z,1284.29,3.658,135,83,0,340,7938511640
2021-12-09T22:58:15Z,1287.92,3.63,135,83,0,341,7938511640
2021-12-09T22:58:16Z,1291.54,3.611,135,83,0,342,7938511640
2021-12-09T22:58:17Z,1295.2,3.667,135,83,0,343,7938511640
2021-12-09T22:58:18Z,1299.04,3.835,135,83,0,344,7938511640
2021-12-09T22:58:19Z,1302.88,3.844,135,83,0,345,7938511640
2021-12-09T22:58:20Z,1306.73,3.854,135,83,0,346,7938511640
2021-12-09T22:58:21Z,1310.6,3.863,135,83,0,347,7938511640
2021-12-09T22:58:22Z,1314.54,3.938,137,83,0,348,7938511640
2021-12-09T22:58:23Z,1318.46,3.919,138,83,0,349,7938511640
2021-12-09T22:58:24Z,1322.37,3.91,138,83,0,350,7938511640
2021-12-09T22:58:25Z,1326.28,3.91,138,83,0,351,7938511640
2021-12-09T22:58:26Z,1330.13,3.854,137,82,0,352,7938511640
2021-12-09T22:58:27Z,1333.99,3.863,137,82,0,353,7938511640
2021-12-09T22:58:28Z,1337.81,3.816,137,82,0,354,7938511640
2021-12-09T22:58:29Z,1341.58,3.77,138,82,0,355,7938511640
2021-12-09T22:58:30Z,1345.28,3.704,139,82,0,356,7938511640
2021-12-09T22:58:31Z,1348.89,3.611,139,82,0,357,7938511640
2021-12-09T22:58:32Z,1352.47,3.583,140,82,0,358,7938511640
2021-12-09T22:58:33Z,1356.13,3.648,140,81,0,359,7938511640
2021-12-09T22:58:34Z,1359.8,3.676,140,81,0,360,7938511640
2021-12-09T22:58:35Z,1363.5,3.695,139,81,0,361,7938511640
2021-12-09T22:58:36Z,1367.21,3.714,140,81,0,362,7938511640
2021-12-09T22:58:37Z,1370.93,3.723,141,81,0,363,7938511640
2021-12-09T22:58:38Z,1374.73,3.798,140,81,0,364,7938511640
2021-12-09T22:58:39Z,1378.52,3.788,139,82,0,365,7938511640
2021-12-09T22:58:40Z,1382.26,3.742,139,82,0,366,7938511640
2021-12-09T22:58:41Z,1385.94,3.686,139,82,0,367,7938511640
2021-12-09T22:58:42Z,1389.54,3.592,139,82,0,368,7938511640
2021-12-09T22:58:43Z,1393.12,3.583,139,82,0,369,7938511640
2021-12-09T22:58:44Z,1396.74,3.62,138,82,0,370,7938511640
2021-12-09T22:58:45Z,1400.36,3.62,139,82,0,371,7938511640
2021-12-09T22:58:46Z,1403.97,3.611,139,82,0,372,7938511640
2021-12-09T22:58:47Z,1407.57,3.602,139,82,0,373,7938511640
2021-12-09T22:58:48Z,1411.22,3.648,138,83,0,374,7938511640
2021-12-09T22:58:49Z,1414.95,3.732,139,83,0,375,7938511640
