"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 08_14_44",2021-04-03 13:22:25,271.8,83,499.26,0,144,45.0152639485896,-93.1467469967902,3.527
"2021_04_03 08_14_44",2021-04-03 13:22:26,271.4,83,503.95,0,143,45.0153060257435,-93.1467530317605,3.536
"2021_04_03 08_14_44",2021-04-03 13:22:27,271.2,83,508.21,0,143,45.0153442472219,-93.1467573065311,3.546
"2021_04_03 08_14_44",2021-04-03 13:22:28,270.8,83,511.82,0,144,45.0153769366443,-93.1467552110553,3.574
"2021_04_03 08_14_44",2021-04-03 13:22:29,270.4,83,515.51,0,143,45.0154102966189,-93.1467580609024,3.583
"2021_04_03 08_14_44",2021-04-03 13:22:30,269.6,83,518.97,0,143,45.0154415611178,-93.1467606592923,3.602
"2021_04_03 08_14_44",2021-04-03 13:22:31,269.6,83,522.25,0,144,45.015471149236,-93.1467612460256,3.602
"2021_04_03 08_14_44",2021-04-03 13:22:32,269.4,83,525.57,0,143,45.0155010726303,-93.1467626709491,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:33,270,83,529.5,0,143,45.0155365280807,-93.1467635929585,3.602
"2021_04_03 08_14_44",2021-04-03 13:22:34,270.8,83,533.78,0,143,45.0155752524734,-93.146765101701,3.602
"2021_04_03 08_14_44",2021-04-03 13:22:35,271.6,83,538.06,0,143,45.0156136415899,-93.1467707175761,3.602
"2021_04_03 08_14_44",2021-04-03 13:22:36,271.4,83,542.17,0,143,45.0156501028687,-93.1467793509364,3.611
"2021_04_03 08_14_44",2021-04-03 13:22:37,271.2,83,545.93,0,143,45.0156837143004,-93.1467857211828,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:38,271,83,549.07,0,144,45.0157123804092,-93.146786224097,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:39,271,82,552.65,0,144,45.0157443154603,-93.1467917561531,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:40,270.6,82,555.79,0,144,45.0157728139311,-93.1467933487147,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:41,270.2,82,558.99,0,144,45.015801647678,-93.1467965338379,3.62
"2021_04_03 08_14_44",2021-04-03 13:22:42,270.2,82,562.85,0,144,45.0158360973001,-93.1468026526272,3.611
