"timestamp","position_lat","position_long","distance","altitude","speed","cadence","fractional_cadence","heart_rate"
2021-03-31 12:43:13,44.9803324509412,-93.2295752875507,548.73,246.6,3.49,86,0.5,152
2021-03-31 12:43:14,44.9803324509412,-93.2296188734472,552.17,246.4,3.49,86,0.5,151
2021-03-31 12:43:15,44.9803310260177,-93.2296645548195,555.78,246.2,3.49,86,0.5,152
2021-03-31 12:43:16,44.980329349637,-93.2297067157924,559.09,246,3.49,86,0.5,153
2021-03-31 12:43:17,44.9803290143609,-93.2297520618886,562.66,245.8,3.49,85,0.5,152
2021-03-31 12:43:18,44.9803300201893,-93.229795396328,566.08,245.6,3.499,85,0.5,152
2021-03-31 12:43:19,44.9803294334561,-93.2298402395099,569.62,245.6,3.499,85,0.5,153
2021-03-31 12:43:20,44.9803276732564,-93.2298846635967,573.12,245.6,3.499,85,0.5,154
2021-03-31 12:43:21,44.9803277570754,-93.2299311831594,576.79,245.4,3.499,85,0.5,153
2021-03-31 12:43:22,44.9803276732564,-93.2299762777984,580.34,245.4,3.499,85,0.5,153
2021-03-31 12:43:23,44.9803290143609,-93.2300198636949,583.78,245.4,3.499,85,0.5,153
2021-03-31 12:43:24,44.9803269188851,-93.2300655450672,587.39,245.2,3.499,86,0.5,152
2021-03-31 12:43:25,44.9803253263235,-93.230107203126,590.66,245,3.499,86,0.5,154
2021-03-31 12:43:26,44.9803247395903,-93.2301505375654,594.07,245,3.499,86,0.5,154
2021-03-31 12:43:27,44.9803235661238,-93.2301959674805,597.64,244.8,3.499,86,0.5,152
2021-03-31 12:43:28,44.9803232308477,-93.2302403915673,601.14,244.6,3.499,86,0.5,152
2021-03-31 12:43:29,44.980318620801,-93.2302851509303,604.68,244.6,3.508,85,0.5,152
2021-03-31 12:43:30,44.9803166091442,-93.2303270604461,607.98,244.2,3.508,85,0.5,152
2021-03-31 12:43:31,44.9803130887449,-93.2303694728762,611.35,244.4,3.508,85,0.5,152
2021-03-31 12:43:32,44.980310657993,-93.2304132264107,614.81,244.4,3.508,85,0.5,152
2021-03-31 12:43:33,44.9803077243268,-93.2304580695927,618.36,244.4,3.508,85,0.5,152
2021-03-31 12:43:34,44.9803017731756,-93.2305035833269,622.01,244.2,3.508,85,0.5,152
2021-03-31 12:43:35,44.9802968278527,-93.2305509410799,625.78,244.2,3.508,85,0.5,151
2021-03-31 12:43:36,44.9802942294627,-93.230596370995,629.36,244,3.508,85,0.5,151
2021-03-31 12:43:37,44.9802892003208,-93.230686141178,636.47,244,3.518,85,0.5,151
2021-03-31 12:43:38,44.9802892003208,-93.230686141178,636.47,244,3.518,85,0.5,151
2021-03-31 12:43:39,44.9802892003208,-93.2307297270745,639.9,244,3.518,86,0.5,150
2021-03-31 12:43:40,44.9802906252444,-93.2307738158852,643.38,244.4,3.518,86,0.5,149
